"Art (Niveau 1)","Slægt (Niveau 2)","Tribus (Niveau 3)","Underfamilie (Niveau 4)","Familie (Niveau 5)","Overfamilie (Niveau 6)","Orden (Niveau 7)",Referencetekst,Den_danske_roedliste,Dansk,Autor,Dansk_navn,Familie_dk,Synonymer
"Pella laticollis",Pella,Lomechusini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Märkel, 1845)",,Rovbiller,
"Pella limbatus",Pella,Lomechusini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Paykull, 1789)",,Rovbiller,
"Pella lugens",Pella,Lomechusini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Gravenhorst, 1802)",,Rovbiller,
"Peltis ferruginea",Peltis,Peltini,Peltinae,Trogositidae,Cleroidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",VU,Ja,"(Linnaeus, 1758)",,,
"Peltis grossa",Peltis,,,Trogositidae,Cleroidea,Coleoptera,"Ikke-hjemmehørende arter. Upubl. (excel-fil)",,Nej,"(Linnaeus, 1758)",,,
"Peltodytes caesus",Peltodytes,,,Haliplidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Duftschmid, 1805)","Plettet vandtræder",Vandtrædere,
"Pentaphyllus testaceus",Pentaphyllus,Diaperini,Diaperinae,Tenebrionidae,Tenebrionidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",EN,Ja,"(Hellwig, 1792)",Dværgskyggebille,Skyggebiller,
"Pentarthrum huttoni",Pentarthrum,Pentarthrini,Cossoninae,Curculionidae,Curculionoidea,Coleoptera,"Træborende snudebille, Pentarthrum huttoni Woll. (Coleoptera, Curculionidae) ny for Danmark. Entomologiske Meddelelser 44: 107-109",NE,Ja,"Wollaston, 1854",,Snudebiller,
"Perigona nigriceps",Perigona,Perigonini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Dejean, 1831)",Kompostløber,Løbebiller,
"Phacophallus parumpunctatus",Phacophallus,Xantholinini,Staphylininae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Gyllenhal, 1827)",,Rovbiller,
