"Art (Niveau 1)","Slægt (Niveau 2)","Tribus (Niveau 3)","Underfamilie (Niveau 4)","Familie (Niveau 5)","Overfamilie (Niveau 6)","Orden (Niveau 7)",Referencetekst,Den_danske_roedliste,Dansk,Autor,Dansk_navn,Familie_dk,Synonymer
"Abax parallelepipedus",Abax,Pterostichini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Piller & Mitterpacher, 1783)","Bred muldløber",Løbebiller,ater
"Abdera affinis",Abdera,Dircaeini,Melandryinae,Melandryidae,Tenebrionidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Paykull, 1799)",,Svampespringere,
"Abdera bifasciata",Abdera,Dircaeini,Melandryinae,Melandryidae,Tenebrionidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",VU,Ja,"Marsham, 1802",,Svampespringere,biflexuosa
"Abdera flexuosa",Abdera,Dircaeini,Melandryinae,Melandryidae,Tenebrionidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Paykull, 1799)",,Svampespringere,
"Abraeus granulum",Abraeus,Abraeini,Abraeinae,Histeridae,Histeroidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Erichson, 1839","Liden kuglestumpbille",Stumpbiller,
"Abraeus perpusillus",Abraeus,Abraeini,Abraeinae,Histeridae,Histeroidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Marsham, 1802)","Brun kuglestumpbille",Stumpbiller,globosus
"Acalles camelus",Acalles,Cryptorhynchini,Curculioninae,Curculionidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Fabricius, 1792)",,Snudebiller,
"Acalles echinatus",Acalles,Cryptorhynchini,Curculioninae,Curculionidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",VU,Ja,"(Germar, 1824)",,Snudebiller,
"Acalles misellus",Acalles,Cryptorhynchini,Curculioninae,Curculionidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"Boheman, 1844",,Snudebiller,turbatus
"Acalles ptinoides",Acalles,Cryptorhynchini,Curculioninae,Curculionidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Marsham, 1802)",,Snudebiller,
"Acalyptus carpini",Acalyptus,Tychiini,Curculioninae,Curculionidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Fabricius, 1792)",,Snudebiller,
"Acalyptus sericeus",Acalyptus,Tychiini,Curculioninae,Curculionidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",VU,Ja,"Gyllenhal, 1836",,Snudebiller,
"Acanthocinus aedilis",Acanthocinus,Acanthocinini,Lamiinae,Cerambycidae,Chrysomeloidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Linnaeus, 1758)",Tømmermand,Træbukke,
"Acanthocinus griseus",Acanthocinus,,,Cerambycidae,Chrysomeloidea,Coleoptera,"Ikke-hjemmehørende arter. Upubl. (excel-fil)",,Nej,"(Fabricius, 1792)",,Træbukke,
"Acanthocinus reticulatus",Acanthocinus,,,Cerambycidae,Chrysomeloidea,Coleoptera,"Ikke-hjemmehørende arter. Upubl. (excel-fil)",,Nej,"(Razoumov, 1789)",,Træbukke,
"Acanthoscelides obtectus",Acanthoscelides,,,Chrysomelidae,Chrysomeloidea,Coleoptera,"Ikke-hjemmehørende arter. Upubl. (excel-fil)",,Nej,"Say, 1831",Bønnebille,Bladbiller,
"Achenium humile",Achenium,Paederini,Paederinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Nicolai, 1822)",,Rovbiller,
"Acidota crenata",Acidota,Anthophagini,Omaliinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Fabricius, 1793)",,Rovbiller,
"Acidota cruentata",Acidota,Anthophagini,Omaliinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Mannerheim, 1830",,Rovbiller,
"Acilius canaliculatus",Acilius,Aciliini,Dytiscinae,Dytiscidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Nicolai, 1822)",,Vandkalve,
"Acilius sulcatus",Acilius,Aciliini,Dytiscinae,Dytiscidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Linnaeus, 1758)","Stribet skivevandkalv",Vandkalve,
"Aclypea opaca",Aclypea,Silphini,Silphinae,Silphidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Linnaeus, 1758)","Matsort ådselbille",Ådselbiller,
"Aclypea undata",Aclypea,Silphini,Silphinae,Silphidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",RE,Ja,"(Müller, 1776)",,Ådselbiller,
"Acritus homoeopathicus",Acritus,Acritini,Abraeinae,Histeridae,Histeroidea,Coleoptera,"Fund af biller i Danmark, 1996 (Coleoptera). Entomologiske Meddelelser 65: 119-148",,Ja,"Wollaston, 1857",,Stumpbiller,
"Acritus komai",Acritus,Acritini,Abraeinae,Histeridae,Histeroidea,Coleoptera,"Fund af biller i Danmark, 2001 (Coleoptera). Entomologiske Meddelelser 70: 81-110",,Ja,"Lewis, 1879",,Stumpbiller,
"Acritus minutus",Acritus,Acritini,Abraeinae,Histeridae,Histeroidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Herbst, 1792)","Hvælvet ægstumpbille",Stumpbiller,
"Acritus nigricornis",Acritus,Acritini,Abraeinae,Histeridae,Histeroidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Hoffmann, 1803)","Fladtrykket ægstumpbille",Stumpbiller,
"Acrolocha minuta",Acrolocha,Omaliini,Omaliinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Olivier, 1795)",,Rovbiller,striata
"Acrolocha pliginskii",Acrolocha,Omaliini,Omaliinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Bernhauer, 1912",,Rovbiller,
"Acrolocha sulcula",Acrolocha,Omaliini,Omaliinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Stephens, 1834)",,Rovbiller,
"Acrotona aterrima",Acrotona,Athetini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Gravenhorst, 1802)",,Rovbiller,
"Acrotona benicki",Acrotona,Athetini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Allen, 1940)",,Rovbiller,pusilla
"Acrotona convergens",Acrotona,Athetini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Strand, 1958)",,Rovbiller,
"Acrotona exigua",Acrotona,Athetini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Erichson, 1837)",,Rovbiller,
"Acrotona muscorum",Acrotona,Athetini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Brisout de Barneville, 1860)",,Rovbiller,
"Acrotona obfuscata",Acrotona,Athetini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Gravenhorst, 1802)",,Rovbiller,convergens?
"Acrotona parens",Acrotona,Athetini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Mulsant & Rey, 1852)",,Rovbiller,
"Acrotona parvula",Acrotona,Athetini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Mannerheim, 1830)",,Rovbiller,
"Acrotona pseudotenera",Acrotona,Athetini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Cameron, 1933)",,Rovbiller,
"Acrotona pygmaea",Acrotona,Athetini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Gravenhorst, 1802)",,Rovbiller,
"Acrotona sylvicola",Acrotona,Athetini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Kraatz, 1856)",,Rovbiller,
"Acrotona troglodytes",Acrotona,Athetini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Motschulsky, 1858)",,Rovbiller,consanguinea
"Acrotrichis arnoldi",Acrotrichis,Acrotrichini,Acrotrichinae,Ptiliidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Rosskothen, 1935",,Dværgbiller,
"Acrotrichis atomaria",Acrotrichis,Acrotrichini,Acrotrichinae,Ptiliidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(DeGeer, 1774)",,Dværgbiller,
"Acrotrichis brevipennis",Acrotrichis,Acrotrichini,Acrotrichinae,Ptiliidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Erichson, 1845)",,Dværgbiller,
"Acrotrichis cephalotes",Acrotrichis,Acrotrichini,Acrotrichinae,Ptiliidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Allibert, 1844)",,Dværgbiller,chevrolatii
"Acrotrichis cognata",Acrotrichis,Acrotrichini,Acrotrichinae,Ptiliidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Matthews, 1877)",,Dværgbiller,
"Acrotrichis danica",Acrotrichis,Acrotrichini,Acrotrichinae,Ptiliidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Sundt, 1958",,Dværgbiller,
"Acrotrichis dispar",Acrotrichis,Acrotrichini,Acrotrichinae,Ptiliidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Matthews, 1865)",,Dværgbiller,
"Acrotrichis fascicularis",Acrotrichis,Acrotrichini,Acrotrichinae,Ptiliidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Herbst, 1793)",,Dværgbiller,
"Acrotrichis grandicollis",Acrotrichis,Acrotrichini,Acrotrichinae,Ptiliidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Mannerheim, 1844)",,Dværgbiller,
"Acrotrichis henrici",Acrotrichis,Acrotrichini,Acrotrichinae,Ptiliidae,Staphylinoidea,Coleoptera,"Fund af biller i Danmark, 1998 (Coleoptera). Entomologiske Meddelelser 67: 71-102",,Ja,"(Matthews, 1872)",,Dværgbiller,
"Acrotrichis insularis",Acrotrichis,Acrotrichini,Acrotrichinae,Ptiliidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Mäklin, 1852)",,Dværgbiller,
"Acrotrichis intermedia",Acrotrichis,Acrotrichini,Acrotrichinae,Ptiliidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Gillmeister, 1845)",,Dværgbiller,
"Acrotrichis lucidula",Acrotrichis,Acrotrichini,Acrotrichinae,Ptiliidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Rosskothen, 1935",,Dværgbiller,
"Acrotrichis montandonii",Acrotrichis,Acrotrichini,Acrotrichinae,Ptiliidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Allibert, 1844)",,Dværgbiller,
"Acrotrichis nana",Acrotrichis,Acrotrichini,Acrotrichinae,Ptiliidae,Staphylinoidea,Coleoptera,"Fund af biller i Danmark, 2005 (Coleoptera). Entomologiske Meddelelser 74: 107-134",,Ja,"Strand, 1946",,Dværgbiller,
"Acrotrichis norvegica",Acrotrichis,Acrotrichini,Acrotrichinae,Ptiliidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Strand, 1941",,Dværgbiller,
"Acrotrichis parva",Acrotrichis,Acrotrichini,Acrotrichinae,Ptiliidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Rosskothen, 1935",,Dværgbiller,
"Acrotrichis pumila",Acrotrichis,Acrotrichini,Acrotrichinae,Ptiliidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Erichson, 1845)",,Dværgbiller,longicornis
"Acrotrichis rosskotheni",Acrotrichis,Acrotrichini,Acrotrichinae,Ptiliidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Sundt, 1971",,Dværgbiller,fraterna
"Acrotrichis rugulosa",Acrotrichis,Acrotrichini,Acrotrichinae,Ptiliidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Rosskothen, 1935",,Dværgbiller,
"Acrotrichis sanctaehelenae",Acrotrichis,Acrotrichini,Acrotrichinae,Ptiliidae,Staphylinoidea,Coleoptera,"Fund af biller i Danmark, 2008 og 2009 (Coleoptera). Entomologiske Meddelelser 78: 117-161",,Ja,"Johnson, 1972",,Dværgbiller,
"Acrotrichis sericans",Acrotrichis,Acrotrichini,Acrotrichinae,Ptiliidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Heer, 1841)",,Dværgbiller,
"Acrotrichis silvatica",Acrotrichis,Acrotrichini,Acrotrichinae,Ptiliidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Rosskothen, 1935",,Dværgbiller,
"Acrotrichis sitkaensis",Acrotrichis,Acrotrichini,Acrotrichinae,Ptiliidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Motschulsky, 1845)",,Dværgbiller,fratercula
"Acrotrichis strandi",Acrotrichis,Acrotrichini,Acrotrichinae,Ptiliidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Sundt, 1958",,Dværgbiller,
"Acrotrichis suecica",Acrotrichis,Acrotrichini,Acrotrichinae,Ptiliidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Sundt, 1958",,Dværgbiller,
"Acrotrichis thoracica",Acrotrichis,Acrotrichini,Acrotrichinae,Ptiliidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Waltl, 1838)",,Dværgbiller,
"Acrulia inflata",Acrulia,Omaliini,Omaliinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Gyllenhal, 1813)",,Rovbiller,
"Actenicerus sjaelandicus",Actenicerus,Ctenicerini,Denticollinae,Elateridae,Elateroidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Müller, 1764)",,Smeldere,
"Actidium boudieri",Actidium,Ptiliini,Ptiliinae,Ptiliidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Allibert, 1844)",,Dværgbiller,
"Actidium coarctatum",Actidium,,,Ptiliidae,Staphylinoidea,Coleoptera,"Ikke-hjemmehørende arter. Upubl. (excel-fil)",,Nej,"(Haliday, 1855)",,Dværgbiller,
"Actinopteryx fucicola",Actinopteryx,Acrotrichini,Acrotrichinae,Ptiliidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Allibert, 1844)",,Dværgbiller,
"Acupalpus dubius",Acupalpus,Harpalini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC•,Ja,"Schilsky, 1888","Brunlig moseløber",Løbebiller,
"Acupalpus exiguus",Acupalpus,Harpalini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"Dejean, 1829","Sort moseløber",Løbebiller,
"Acupalpus flavicollis",Acupalpus,Harpalini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Sturm, 1824)","Rødhalset moseløber",Løbebiller,
"Acupalpus meridianus",Acupalpus,Harpalini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Linnaeus, 1761)","Almindelig moseløber",Løbebiller,
"Acupalpus parvulus",Acupalpus,Harpalini,Harpalinae,Carabidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Sturm, 1825)","Bredrygget moseløber",Løbebiller,dorsalis
"Acylophorus glaberrimus",Acylophorus,Staphylinini,Staphylininae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Herbst, 1784)",,Rovbiller,
"Acylophorus wagenschieberi",Acylophorus,Staphylinini,Staphylininae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Kiesenwetter, 1850",,Rovbiller,
"Adalia bipunctata",Adalia,Coccinellini,Coccinellinae,Coccinellidae,Cucujoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Linnaeus, 1758)","2-plettet mariehøne",Mariehøns,
"Adalia decempunctata",Adalia,Coccinellini,Coccinellinae,Coccinellidae,Cucujoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Linnaeus, 1758)","10-plettet mariehøne",Mariehøns,
"Aderus populneus",Aderus,Aderini,,Aderidae,Tenebrionidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Creutzer, 1796)",,,
"Adistemia watsoni",Adistemia,Latridiini,Latridiinae,Latridiidae,Cucujoidea,Coleoptera,"""Hvad finder jeg i køkkenet"" - en ny dansk skimmelbille, Adistemia watsoni (Wollaston) (Coleoptera, Latridiidae). Entomologiske Meddelelser 59: 23-26",,Ja,"(Wollaston, 1871)",,Skimmelbiller,
"Adrastus pallens",Adrastus,Adrastini,Elaterinae,Elateridae,Elateroidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Fabricius, 1792)","Almindelig marksmælder",Smeldere,nitidulus
"Aegialia arenaria",Aegialia,Aegialiini,,Aegialiidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Fabricius, 1787)","Bred klittorbist",,
"Aegialia rufa",Aegialia,Aegialiini,,Aegialiidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Fabricius, 1792)","Rød klittorbist",,spissipes
"Aegialia sabuleti",Aegialia,Aegialiini,,Aegialiidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Panzer, 1797)","Smal klittorbist",,
"Aegomorphus clavipes",Aegomorphus,Acanthoderini,Lamiinae,Cerambycidae,Chrysomeloidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",RE,Ja,"(Schrank, 1781)",,Træbukke,
"Aeletes atomarius",Aeletes,Acritini,Abraeinae,Histeridae,Histeroidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Aubé, 1842)",,Stumpbiller,
"Agabus affinis",Agabus,Agabini,Agabinae,Dytiscidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Paykull, 1798)",,Vandkalve,aeneus
"Agabus bipustulatus",Agabus,Agabini,Agabinae,Dytiscidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Linnaeus, 1767)",,Vandkalve,
"Agabus clypealis",Agabus,Agabini,Agabinae,Dytiscidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(C.G.Thomson, 1859)","Holmegårds damvandkalv",Vandkalve,
"Agabus congener",Agabus,Agabini,Agabinae,Dytiscidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Thunberg, 1794)",,Vandkalve,
"Agabus conspersus",Agabus,Agabini,Agabinae,Dytiscidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Marsham, 1802)",,Vandkalve,
"Agabus didymus",Agabus,Agabini,Agabinae,Dytiscidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Olivier, 1795)",,Vandkalve,
"Agabus fuscipennis",Agabus,Agabini,Agabinae,Dytiscidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Paykull, 1798)",,Vandkalve,
"Agabus guttatus",Agabus,Agabini,Agabinae,Dytiscidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Paykull, 1798)",,Vandkalve,
"Agabus labiatus",Agabus,Agabini,Agabinae,Dytiscidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Brahm, 1790)",,Vandkalve,
"Agabus melanarius",Agabus,Agabini,Agabinae,Dytiscidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Aubé, 1837",,Vandkalve,tarsatus
