Lokalitet,Distrikt,YKoord,XKoord,GI,Genstand
Abbetved,NEZ,6168920,683586,1,30
Abed,LFM,6078988,649560,1,30
Abelinesgård,WJ,6200549,447389,1,170
Abellund,NEZ,6217649,715467,1,90
Abelshoved,EJ,6217385,577738,1,580
Abild,SJ,6092670,491488,1,10
Abild Hede,WJ,6167544,484632,1,370
Abild Mark,SJ,6093177,490096,1,40
Abildgård,SJ,6128616,535721,1,80
Abildgård,EJ,6177281,547017,1,90
Abildgårde,NEJ,6309606,544926,1,40
Abildhave,NWJ,6324840,494671,1,40
Abildhede,WJ,6168089,483201,1,30
Abildholt,WJ,6246846,492837,1,40
Abildholt Hede,WJ,6247781,493373,1,270
Abildhoved,EJ,6189779,566607,1,570
Abildro,F,6154762,567335,1,30
Abildskov,EJ,6223180,526540,1,30
Abildskov,F,6123142,575139,1,40
Abildtorpe,LFM,6081544,638240,1,40
Abildtorpe Mose,LFM,6080043,638943,1,30
Abildtrup,WJ,6218756,483367,1,40
Abildøre,NWZ,6190747,668085,1,30
Abildå,WJ,6220570,477461,4,420
Abildå = Abildå By,WJ,6225005,476204,8,30
Abkær,SJ,6113946,520460,1,30
Abkær Mose,SJ,6114744,521663,1,390
Aborg,F,6128402,558991,1,30
Aborg Mark,F,6129122,557885,1,40
Aborg Minde,F,6130534,557120,1,40
Aborg Strand,F,6128846,556860,1,40
Aborrebjerg 143m,LFM,6098493,726078,5,540
Abterp,SJ,6103760,485786,1,30
Adamsgave,LFM,6082807,637654,1,90
Adamshøj,SZ,6147918,680397,1,80
Adbøl,NWJ,6291989,461217,1,40
Addit,EJ,6210881,538336,1,30
Addit Mark,EJ,6209737,537964,1,40
Addit Skov,EJ,6212050,538152,1,350
Addithus Avlsgård,EJ,6211737,538224,1,80
Additnæs,EJ,6213366,538696,4,630
Adelvad,SJ,6092673,499011,1,40
Adsbøl,SJ,6088384,539995,1,10
Adsbøl,WJ,6182194,471763,1,40
Adsersbøl,WJ,6156219,498882,1,40
Adsersbølgård,WJ,6157039,499478,1,60
Adslev,EJ,6217934,562015,1,30
Aflandshage,NEZ,6162592,726639,1,580
Agdrup v. Brønderslev,NEJ,6349419,555667,3,40
Agdrup v. Vestbjerg,NEJ,6331139,559727,3,80
Agedrup,F,6143885,594341,1,30
Ager Vejle,NWJ,6287552,474055,1,30
Agerbæk,WJ,6161834,487481,1,10
Agerbæk,NWJ,6260278,491124,1,40
Agerbæklund,WJ,6163251,487543,1,30
Agerholm,NEJ,6363299,580781,1,100
Agerhøj 27m,NEJ,6311870,525609,5,540
Agerkrog,WJ,6175442,474287,1,40
Agerland Høj 72m,WJ,6152533,506410,5,540
Agernæs,F,6116841,563108,7,90
Agernæs Flak,F,6164748,579559,6,700
Agernæs Fælled,F,6163239,583160,1,270
Agernæs v. Helnæs,F,6116734,563299,3,630
Agernæs v. Tørresø,F,6160751,584475,3,30
Agernæs v. Æbelø,F,6164638,581512,3,580
Agernæsgård,F,6161323,585694,1,80
Agersbæk,WJ,6223213,453731,1,30
Agersbøl,EJ,6183203,537532,2,60
Agersbøl,EJ,6182622,537567,7,40
Agershvile,NEZ,6193449,723116,1,90
Agersig,WJ,6207978,489324,1,40
Agerskov,SJ,6109477,508269,1,10
Agerskov,EJ,6214438,564150,1,80
Agerskov Hede,WJ,6235068,509177,1,40
Agerskov Høj 62m,NWJ,6253147,518842,5,300
Agerskov Plantage,WJ,6234883,508182,1,350
Agerskov v. Hammerum,WJ,6220091,504232,3,40
Agerskov v. Klinkby,NWJ,6270724,451158,3,30
Agerskov v. Kølvrå,WJ,6234835,511269,3,40
Agerskov v. Ravnstrup,NWJ,6251969,518750,3,40
Agersnap,WJ,6183950,480587,1,40
Agersted,NEJ,6340526,583495,1,10
Agersted Bakker 58m,NEJ,6339946,582994,5,540
Agersted Fælled,NEJ,6339203,584116,1,40
Agerstedskov,NEJ,6339515,582733,1,40
Agersvold,NWZ,6174407,652666,1,60
Agersvold Enghave,NWZ,6174461,653390,1,390
Agersø,SZ,6120278,639271,4,610
Agersø = Agersø By,SZ,6120717,639551,8,30
Agersø Flak,SZ,6119701,636215,6,700
Agersø Sund,SZ,6121534,640921,6,660
Agerup,EJ,6192909,601046,1,40
Agerup,NEZ,6161242,677179,1,40
Agerup,SZ,6125768,664889,1,30
Agerupgård,LFM,6073938,667745,1,60
Agervig,WJ,6166232,475224,1,40
Agerø,NWJ,6285461,474010,1,610
Aggebo,NEZ,6217694,702202,1,40
Aggebo Hegn,NEZ,6218338,702282,1,350
Agger,NWJ,6293551,453811,1,10
Agger Tange,NWJ,6288614,453089,1,590
Aggersborg,NEJ,6317086,515755,1,30
Aggersborggård,NEJ,6316957,515520,1,60
Aggersund,NEJ,6317978,517060,2,10
Aggersund,NEJ,6316763,517402,4,660
Aggerup,SZ,6141148,702122,1,30
Aggestrup,EJ,6197444,562606,1,30
Agnethesminde,EJ,6161909,530176,1,90
Agri,EJ,6233030,594493,1,30
Agri Bavnehøj 137m,EJ,6232938,595337,5,540
Agsø,SJ,6095999,529899,1,400
Agtrup,EJ,6146730,535180,1,30
Agtrup Mark,EJ,6147413,536389,1,40
Agtrup Vig,EJ,6149809,537099,6,670
Agtrupskov,EJ,6148648,536530,1,40
Agtrupvig,EJ,6149235,537308,2,30
Ahl,EJ,6226806,602355,1,50
Ahl Hage,EJ,6228270,601841,1,580
Ahl Plantage,EJ,6227785,602036,1,350
Ahler Gårde,WJ,6201795,482022,1,40
Aidt,EJ,6241738,548931,1,10
Aidt Hede,EJ,6243321,549221,1,40
Ajke,WJ,6147942,485534,1,40
Ajshøj 32m,NWJ,6264306,515798,5,300
Ajstrup,NWJ,6265031,510122,1,40
Ajstrup Bugt,EJ,6283880,573951,6,670
Ajstrup Hede v. Lundby Hede,NEJ,6310813,529647,3,370
Ajstrup Hede v. Sulsted,NEJ,6336527,560444,3,40
Ajstrup Kirke,NEJ,6338016,558454,1,70
Ajstrup Mose,NEJ,6337738,562996,1,390
Ajstrup Strand,EJ,6210932,579025,1,50
Ajstrup v. Hadsund,EJ,6283328,571280,3,30
Ajstrup v. Hjørring,NEJ,6366729,568736,3,30
Ajstrup v. Malling,EJ,6211049,577216,3,30
Ajstrup v. Sulsted,NEJ,6336944,559282,3,30
Akkerup,F,6121382,572817,1,30
Akselholm,NWZ,6169101,651252,1,30
Akselholm,NEJ,6368343,562915,1,90
Akselterp,NEJ,6294329,557766,1,30
Akær,NEJ,6326505,579451,1,40
Albertinesminde,NEJ,6347082,580947,1,90
Albertslund,NEZ,6174379,710794,1,10
Albjerg,F,6110848,609610,1,30
Albue Flak,LFM,6076707,624379,6,700
Albue Havn,LFM,6077958,626618,1,670
Albue Red,LFM,6078623,627063,6,650
Albuen,LFM,6077915,625939,1,630
Albuen,WJ,6138735,465931,1,670
Albuen,EJ,6196881,605585,1,580
Albæk,NEJ,6344905,542323,4,420
Albæk  Plantage,EJ,6263748,610344,1,350
Albæk Gårde,NEJ,6344799,585205,1,30
Albæk Hede,WJ,6205583,486129,1,40
Albæk Hedehuse,NEJ,6301036,547007,1,40
Albæk Hoved,EJ,6172653,560105,1,580
Albæk Mark,WJ,6217693,489331,1,40
Albæk Mark,NEJ,6301515,545246,1,40
Albæk Sekshøje 98m,NEJ,6303514,546074,5,300
Albæk v. Harridslev,EJ,6260650,571444,3,10
Albæk v. Hemmed,EJ,6263794,609234,3,30
Albæk v. Lendum,NEJ,6362770,580037,3,40
Albæk v. Præstbro,NEJ,6344545,586004,3,30
Albæk v. Skjern,WJ,6200866,473865,3,30
Albæk v. Snejbjerg,WJ,6220377,490955,3,30
Albæk v. Suldrup,NEJ,6301370,544935,3,60
Albøge,EJ,6247790,605345,1,30
Albøge Mark,EJ,6247177,604287,1,40
Aldebertsminde,EJ,6166994,532073,1,90
Alderslyst,EJ,6226607,534566,1,20
Aldersro,NWZ,6170465,639129,1,80
Aldrup,NEJ,6330056,520299,1,40
Aldrup Gårde,EJ,6245484,546600,1,40
Alenbækshuse,F,6125449,569911,1,30
Algestrup,LFM,6084103,692020,1,30
Algestrup,NWZ,6177798,645802,1,60
Algestrup,NEZ,6169316,671334,1,30
Algestrup,SZ,6141318,695128,1,10
Alhale,EJ,6191564,569600,1,630
Alhede,WJ,6243575,512178,1,370
Alholm,NEZ,6200683,680958,1,610
Alken,EJ,6212407,552820,1,30
Alken Enge,EJ,6212164,553759,1,380
Alkærlund,WJ,6194592,505569,1,40
Alkærsig,WJ,6204220,467366,1,40
Alle,WJ,6220971,483784,1,40
Alleenborg,LFM,6089706,638596,1,90
Allehuse,F,6162040,585053,1,30
Allelev,EJ,6250657,608582,1,30
Allelev Sund,EJ,6251933,608758,1,40
Aller,SJ,6135196,533753,1,30
Aller Mølle,SJ,6134678,533352,1,120
Aller Å,SJ,6135183,535241,4,420
Allerslev,WJ,6175276,460780,1,40
Allerslev,NEZ,6165539,687022,1,20
Allerslev,SZ,6108334,693804,1,10
Allerslev Huse,NEZ,6163642,687137,1,30
Allerup,SJ,6116131,500807,1,30
Allerup,NWZ,6177222,667366,1,30
Allerup,WJ,6144861,475642,1,30
Allerup,NEJ,6343619,572042,1,30
Allerup Bakker,NEJ,6343876,573110,1,550
Allerup Enge,WJ,6143933,475314,1,270
Allerup Krat,SJ,6117258,501673,1,350
Allerup Mark,F,6132354,592669,1,40
Allerup Torup,F,6134007,594561,1,30
Allerup v. Brobyværk,F,6121807,578485,3,30
Allerup v. Odense,F,6133621,593342,3,30
Alleruphave,F,6120500,576600,1,40
Allerød,NEZ,6196639,710397,1,10
Allese,F,6146232,583206,1,10
Allese Nord,F,6148013,582488,1,40
Allesgårde,EJ,6182969,563109,1,30
Alleshave,NWZ,6178093,640280,1,40
Alleskoven,F,6106222,581560,1,350
Allested,F,6125375,585144,1,30
Allestedskov,F,6123354,584619,1,40
Allestrup,EJ,6260179,585405,1,30
Allestrup,NEJ,6284128,541279,1,40
Allestrupgård Plantage,EJ,6270093,564468,1,350
Allikegårde,SZ,6142797,679609,1,30
Allindelille,NEZ,6156491,674454,1,30
Allindelille Fredskov,NEZ,6155870,675089,1,350
Allindelille Old,NEZ,6158418,674764,1,40
Allindemagle,NEZ,6154444,671775,1,30
Allindemagle Huse,NEZ,6155234,673671,1,30
Allindemagle Skov,NEZ,6154658,670599,1,350
Allindemagle Ø,NEZ,6153309,671603,1,30
Allindemaglegård,NEZ,6154723,672125,1,60
Alling,EJ,6219086,545524,1,30
Alling Kloster,EJ,6236155,537678,1,110
Alling Skovgård,EJ,6235121,537680,1,90
Alling Skovgård Mark,EJ,6234796,538114,1,40
Alling Sø,EJ,6236187,536932,1,400
Alling Å,EJ,6252306,574560,4,430
Alling Å v. Alling Sø,EJ,6236253,537385,3,420
Allingbjerg 58m,NEZ,6184489,680339,5,540
Allingdam,NEJ,6379398,561631,1,30
Allinge,B,6140869,868316,1,10
Allinggård,EJ,6236368,539398,1,60
Allinggård Mark,EJ,6235013,539471,1,40
Allinggård Skov,EJ,6236486,540287,1,350
Allingkloster Skov,EJ,6235540,537376,1,350
Allingskovby,EJ,6234790,538950,1,30
Allingåbro,EJ,6258646,581733,1,10
Allingålyst,EJ,6235960,538444,1,30
Alme,NEZ,6220513,703162,1,30
Alme Orned,NEZ,6222379,702208,1,40
Almind Hede v. Dons,EJ,6157062,529713,3,40
Almind Hede v. Grundvad,EJ,6246235,524709,3,40
Almind Sø,EJ,6223115,533935,1,400
Almind v. Hald Sø,EJ,6248139,524469,3,30
Almind v. Viuf,EJ,6157888,531016,3,10
Almind Å,EJ,6158125,527456,1,420
Alminde,LFM,6070335,645456,1,30
Almindehuse,F,6156572,567273,1,30
Almindehuse,SZ,6138382,702514,1,40
Almindevænge,SZ,6139816,699530,1,350
Almindingen,B,6124259,877572,1,350
Almindkrog,NWZ,6143482,639698,1,30
Almsted,SJ,6092539,560347,1,30
Almstofte,SZ,6139961,678902,1,30
Almstok Huse,WJ,6171164,509956,1,40
Almstrup,SJ,6089415,519384,1,30
Almstrup Mark,SJ,6088568,518544,1,30
Alne Nor,F,6108787,571567,1,640
Alnor,SJ,6084859,537684,1,20
Alpedal,EJ,6151236,527181,1,20
Alrum,WJ,6226585,452475,1,40
Alrø,EJ,6190959,567046,1,610
Alrø By,EJ,6190904,567159,1,30
Alrø Sund,EJ,6189086,566718,6,660
Als,SJ,6091417,554865,4,610
Als,NEJ,6291041,578882,1,10
Als Dyb,NEJ,6342992,616798,6,650
Als Dyb Holme,NEJ,6343566,618311,1,610
Als Fjord,SJ,6096561,544101,6,680
Als Hede,NEJ,6292761,576971,1,40
Als Mark,NEJ,6290185,578221,1,40
Als Odde,EJ,6285853,581615,1,580
Als Sund,SJ,6089442,548716,6,660
Alsbjerg,NEJ,6323517,527265,1,40
Alsbjerg 36m,NWJ,6257404,501855,5,540
Alshøj 69m,EJ,6277557,552997,5,300
Alslev,WJ,6160861,463234,1,10
Alslev,SZ,6131995,703513,1,30
Alslev Kro,SJ,6099478,501551,1,30
Alslev Marsk,WJ,6163105,460445,1,380
Alslev Mose,SJ,6097558,500768,1,390
Alslev Skov,LFM,6089858,685326,1,350
Alslev v. Hjordkær,SJ,6096678,518704,3,30
Alslev v. Løgumkloster,SJ,6098708,502963,3,30
Alslev Vrå,SJ,6096832,503312,1,40
Alslev Å,WJ,6161269,469443,4,430
Alslevgård,LFM,6071787,694958,1,80
Alslevgård,SZ,6131147,701847,1,60
Alsted,NWJ,6300647,489239,1,30
Alsted,SZ,6143327,668878,1,30
Alsted Mark,EJ,6189075,527691,1,40
Alsted Mark,SZ,6143972,670353,1,40
Alsted Skov,EJ,6189065,528865,1,350
Alsted Skov,SZ,6142783,667198,1,350
Alsted-Flinterup,SZ,6145278,669701,1,30
Alstrup,LFM,6086415,677867,1,30
Alstrup,WJ,6249734,472990,1,30
Alstrup Hede,NEJ,6288668,539469,1,40
Alstrup p. Samsø,EJ,6193806,601782,3,30
Alstrup Rev,LFM,6086325,675797,6,700
Alstrup v. Hvalpsund,NEJ,6284444,516400,3,30
Alstrup v. Mariager,EJ,6278529,562044,3,30
Alstrup v. Vs. Hjermitslev,NEJ,6348488,545511,3,30
Alstrupgård,EJ,6246533,567298,1,80
Alsø,LFM,6066176,664807,1,40
Alsø Skov,LFM,6067162,665058,1,350
Alsønderup,NEZ,6207749,701612,1,10
Altona,NEJ,6383729,575808,1,40
Amager,NEZ,6167340,727165,4,610
Amager Fælled,NEZ,6173517,725336,1,270
Amager Huse,NEZ,6158649,687740,1,30
Amager Huse,NEZ,6205644,681361,1,30
Amager Skov,NEZ,6171402,736204,1,350
Amalieager,LFM,6067172,641081,1,30
Amaliegård,EJ,6276028,571123,1,80
Amalielyst,F,6103500,598101,1,350
Ambjerg Skov,SZ,6105700,689042,1,350
Ambjerg Stovhøj 74m,EJ,6289746,561137,1,300
Ambrosgårde,NEJ,6347705,616181,1,30
Ambæk,SZ,6111747,698142,1,30
Amdal,NEJ,6363753,563631,1,40
Amdrupgård,EJ,6240661,569851,1,150
Amerika v. Hobro,EJ,6277110,550812,3,30
Amerika v. Skannerup,EJ,6230296,544852,3,40
Amerikanergårde,F,6122473,576063,1,30
Amholm,WJ,6196578,464676,1,380
Amhøje 42m,WJ,6154701,473579,5,300
Amlund,WJ,6178553,512336,1,40
Amlund Skov,WJ,6178935,512929,1,350
Ammelhede,EJ,6255377,575137,1,30
Ammendrup,NEZ,6212024,699470,1,30
Ammendrup,SZ,6109093,693399,1,30
Ammerup,SZ,6139098,706187,1,30
Ammesholm,NEZ,6194541,689093,1,610
Ammitsbøl,EJ,6167290,525988,1,30
Ammitsbøl Skov,EJ,6164723,527608,1,350
Amstrup,WJ,6249893,458756,1,260
Amstrup,NWJ,6253212,503139,1,30
Amstrup Red,EJ,6192769,568219,6,650
Amstrup Søer,WJ,6248485,457218,1,400
Amstrup v. Gylling,EJ,6194388,570162,3,30
Amstrup v. Vellev,EJ,6248487,548873,3,30
Amstrupgård,EJ,6264147,592503,1,90
Amtoft,NWJ,6318557,496356,1,30
Amtoft Vig,NWJ,6318786,500111,6,670
Amtrup,WJ,6217940,493933,1,40
Amtsplantagen,WJ,6158508,464950,1,350
Anbæk,EJ,6232684,553296,1,30
Andaks,NWZ,6173951,635835,1,30
Andbeck,WJ,6210090,464440,1,90
Andebjerg 47m,NEJ,6326325,523215,5,540
Andebjerg Plantage,NEJ,6325829,523883,1,350
Andebølle,F,6141598,570802,1,30
Andebølle Storskov,F,6142752,569886,1,30
Andemose,LFM,6092760,657699,1,30
Andemose Nakke,LFM,6094994,664421,1,570
Anderstrup,LFM,6074166,663091,1,10
Anderstrup,NEJ,6300905,564065,1,90
Andersvænge,NWZ,6144489,649647,1,150
Anderup,SJ,6134446,525143,1,30
Anderup,F,6144333,587690,1,30
Anderup Huse,F,6144644,586534,1,40
Andholm,SJ,6105621,522603,1,30
Andi,EJ,6248211,580129,1,30
Andkær,F,6141164,609557,1,30
Andkær Skovby,EJ,6170682,539737,1,40
Andkær v. Albøge,EJ,6248637,606317,3,30
Andkær v. Sellerup,EJ,6169440,539290,3,10
Andkær Vig,EJ,6171800,541391,1,30
Andrup,NEJ,6331193,519048,1,40
Andrup,NWJ,6295817,485207,1,40
Andrup v. Esbjerg,WJ,6150563,470434,3,10
Andrup v. Glenstrup Sø,EJ,6274165,551419,3,40
Andrup v. Stavning,WJ,6204228,461406,3,40
Andrup v. Vrinners,EJ,6233790,592783,3,30
Andsieg,SJ,6136585,537835,1,90
Andst Station,WJ,6147329,515165,1,30
Anerbjerge Plantage,WJ,6186659,452560,1,350
Anerå,WJ,6185063,453276,4,430
Anglandsmose,WJ,6257099,467164,1,270
Anhof,F,6120871,609871,1,60
Anholt,EJ,6287683,655918,2,30
Anholt,EJ,6289775,658459,4,610
Anholt,SJ,6139519,523744,1,30
Anholt,WJ,6194997,453073,1,610
Anhøj 110m,B,6120515,884278,5,540
Ankelbo,WJ,6175693,505528,1,40
Ankerstræde,SZ,6143991,697511,1,30
Annalyst,LFM,6061299,681084,1,90
Annebjerg,NWZ,6198531,666823,1,60
Annebjerg 52m,EJ,6201304,596225,5,540
Annebjerg Huse,NWZ,6196858,665317,1,40
Annebjerg Mark,NWZ,6197701,665422,1,40
Annebjerg Plantage,EJ,6249124,617873,1,350
Annebjerg Skov,NWZ,6197187,666271,1,350
Annekspræstegårde,WJ,6241064,450463,1,30
Annerup,NEJ,6307517,552486,1,40
Annisse,NEZ,6208717,698126,1,10
Annisse Nord,NEZ,6210562,699243,1,10
Annisse Overdrev,NEZ,6209282,699899,1,40
Ans,EJ,6240743,536571,1,10
Ans Bro,EJ,6241134,537138,1,210
Ansager,WJ,6173317,484421,1,10
Ansager Plantage,WJ,6171704,483760,1,350
Ansager Å,WJ,6170697,490341,4,430
Ansbjerg,WJ,6231656,494011,1,40
Ansgarskirken,NWJ,6299390,482690,1,70
Anshede,NWJ,6298619,498545,1,40
Anslet Hage,SJ,6133134,541104,1,580
Ansø,EJ,6213027,528056,1,380
Antoinetteminde,NWZ,6165216,656463,1,90
Antvorskov,SZ,6141079,650056,1,30
Apager Skov,SZ,6129097,643543,1,350
Apholm,NEZ,6198350,693188,1,40
Apholmen,NEJ,6370334,591538,1,40
Appelsbjerggård,SZ,6127353,656725,1,80
Appenæs,SZ,6119221,674741,1,20
Appenæs Hoved,SZ,6118968,673911,1,560
Apperup,NEZ,6220090,719454,1,20
Aptrup,EJ,6237682,549720,1,30
Aptrup Mark,EJ,6238595,549980,1,40
Arden,NEJ,6292393,552431,1,10
Arensborg,EJ,6283483,577730,1,90
Arentsminde,NEJ,6331009,537671,1,10
Arentsminde Kanal,NEJ,6334122,537650,4,340
Arløse,SZ,6128662,662338,1,30
Arløse Skovhuse,SZ,6127109,662096,1,40
Arløse Torp,SZ,6127690,660641,1,30
Armhoved 16m,EJ,6198628,602516,5,540
Armose,NWJ,6265259,455168,1,40
Arnager,B,6116365,869129,1,30
Arnager Bugt,B,6115650,870319,6,670
Arnager Pynt,B,6116118,868927,1,580
Arnager Rev,B,6113700,871324,1,700
Arnagerbro,B,6117759,868055,1,40
Arnakke,EJ,6234913,611099,1,580
Arnakke,NWZ,6082029,640781,1,90
Arnakke,NEZ,6173052,674319,1,10
Arnakkebugt,NWZ,6176768,641344,1,270
Arnbjerg 86m,SJ,6102873,532147,1,540
Arnborg,WJ,6207872,499356,1,10
Arnborg Kirke,WJ,6206650,498100,1,70
Arndrup,SJ,6099966,506041,1,30
Arndrup Mølle,SJ,6100730,507130,1,90
Arnhøj 25m,NEZ,6185860,678016,5,540
Arninge,LFM,6073718,639913,1,30
Arnitlund,SJ,6117113,521070,1,30
Arnitlundskov,SJ,6118751,521181,1,40
Arnkil,SJ,6091588,548927,1,30
Arnkilsmaj,SJ,6090107,549970,1,30
Arnkilsøre,SJ,6092786,548596,1,570
Arnum,SJ,6122515,498038,1,10
Arnum Nykro,SJ,6120833,497474,1,30
Arnum Søndermark,SJ,6121256,497414,1,40
Arnøje,SZ,6135130,708907,1,30
Arnøje Hestehave,SZ,6134241,708072,1,350
Arnå,SJ,6096124,502535,4,430
Arrenakke 45m,NEZ,6210742,689013,5,540
Arrenakke Å,NEZ,6209255,687642,4,420
Arrenæs,NEZ,6207318,691665,4,630
Arreskov,F,6114169,583807,1,60
Arreskov Sø,F,6113458,583333,4,400
Arresø,NEZ,6207890,693997,4,400
Arresødal,NEZ,6207836,689199,1,60
Arresødal Skov,NEZ,6207688,689311,1,350
Arresøhøj,NEZ,6210994,695777,1,150
Arrild,SJ,6111758,497569,1,10
Arrild Ferieby,SJ,6112565,497002,1,40
Arup Holm,NWJ,6315446,493974,1,610
Arup Kirke,NWJ,6318216,495355,1,70
Arup Vejle,NWJ,6319350,494478,1,400
Arvad,WJ,6200850,511288,1,40
As Hede,EJ,6181412,563544,1,50
As Hoved,EJ,6178508,567991,1,580
As Hoved Skov,EJ,6178927,567006,1,350
As Ore,EJ,6176928,562513,1,30
As Vig,EJ,6180587,563789,2,50
As Vig,EJ,6181705,565991,4,670
Asbo,WJ,6156565,507409,1,30
Asbæk Hede,WJ,6231768,487322,1,40
Asbækholt,NEJ,6334516,578346,1,40
Asbøl,EJ,6151946,522024,1,40
Aschehougs Flak,EJ,6202723,581753,1,700
Asdal,NEJ,6379949,561613,1,60
Asdal Kirke,NEJ,6379656,561729,1,70
Asferg,EJ,6267287,557138,1,10
Asferg Nørremark,EJ,6268598,556588,1,40
Asferg Søndermark,EJ,6266064,557502,1,40
Asferg Østermark,EJ,6266518,558872,1,40
Asgård,EJ,6253257,608186,1,90
Ashøj 25m = Ashøj v. Hosby,EJ,6179726,561854,9,540
Ashøj 59m = Ashøj v. Asferg,EJ,6268662,557499,9,300
Ashøj 94m,NWJ,6290677,462658,5,300
Ask,EJ,6210363,570197,1,30
Askeby,LFM,6091053,703599,1,30
Askeby,F,6153070,576978,1,30
Askebæk Huse,F,6119761,614213,1,30
Askegårde,SZ,6122324,644536,1,30
Askehoved,NEZ,6175089,691551,1,630
Askemose,NEZ,6217114,695424,1,40
Askevad,NWZ,6165954,648217,1,30
Askildrup,EJ,6250552,565825,1,30
Askildrup,NEJ,6303472,560014,1,30
Asklev,EJ,6216545,529302,1,30
Askov Huse,SZ,6119702,686099,1,30
Askov Mark v. Vejen,WJ,6145743,506241,3,40
Askov Mark v. Ørnhøj,WJ,6228481,475378,3,40
Askov v. Vejen,WJ,6147217,506164,3,10
Askov v. Ørnhøj,WJ,6227358,473963,3,40
Askær,WJ,6173236,496198,1,40
Askø,LFM,6085944,659811,4,610
Askø By,LFM,6086465,659968,1,30
Askø Fæland,LFM,6069401,646484,1,40
Askø v. Gloslunde,LFM,6070257,647094,3,30
Askø v. Maribo,LFM,6070165,663467,3,610
Asløkke,EJ,6177729,561927,1,40
Asmild,EJ,6255648,526423,1,20
Asmildgårde,EJ,6234809,540670,1,40
Asminderød,NEZ,6208264,712953,1,20
Asmindrup,NWZ,6172800,637627,1,30
Asmindrupgård,NWZ,6174027,638533,1,90
Asmindør Hage,EJ,6200306,596075,1,580
Asmusgård,EJ,6234204,577159,1,80
Asnæs,F,6124858,556202,1,570
Asnæs,NWZ,6170007,627428,4,630
Asnæs,NWZ,6188254,656891,2,10
Asnæs Indelukke,NWZ,6191688,657077,1,50
Asnæs Nordvest Flak,NWZ,6172450,621185,6,700
Asnæs Rev,F,6126260,555528,6,700
Asnæs Rev,NWZ,6169971,619854,6,700
Asnæsgård,NWZ,6170691,623121,1,80
Asp,WJ,6178330,472374,1,30
Asp,NEJ,6297644,556636,1,30
Asp,NWJ,6254491,470024,1,10
Aspagården,NWZ,6183462,658591,1,80
Aspebakker 120m,B,6123075,878348,5,540
Aspelhoved 48m,EJ,6242114,593001,5,300
Asperup,F,6149001,557211,1,20
Assedrup,EJ,6208153,573987,1,30
Assemose,F,6088458,614483,1,30
Assenbakke 67m,EJ,6241759,583528,5,540
Assenbjerggård,NEZ,6155111,695307,1,90
Assenbækmølle,WJ,6173321,476975,1,100
Assenbølle,LFM,6062640,660654,1,30
Assenbølle,F,6139456,569200,1,30
Assendløse,NEZ,6161973,688984,1,30
Assendløse Huse,NEZ,6160796,689279,1,40
Assendrup,NEZ,6155619,695112,1,30
Assendrup,SZ,6135815,680572,1,60
Assendrup v. Bredballe,EJ,6176808,541735,3,30
Assendrup v. Torrild,EJ,6203567,563189,3,30
Assens,EJ,6282064,565220,1,10
Assens,F,6125412,557577,1,10
Assens Mark,EJ,6280759,565014,1,40
Assentoft,EJ,6255850,570600,1,10
Assentorp,NWZ,6160408,663855,1,30
Asserballe,SJ,6091573,561166,1,10
Asserballe Station,SJ,6091641,559353,1,30
Asserballeskov,SJ,6092055,563833,1,30
Asserbo,NEZ,6210996,686924,1,50
Asserbo Plantage,NEZ,6212646,688011,1,350
Asseregårds Huse,B,6127984,872061,1,30
Asserholt,WJ,6155510,508219,1,90
Asserstrup,LFM,6083905,635793,1,60
Asset,SJ,6099181,500001,1,40
Assing,WJ,6207693,490738,1,30
Assing Mølleby,WJ,6206998,490149,1,30
Astofte,WJ,6143609,492687,1,40
Astrup,SJ,6114536,482088,1,30
Astrup,NWJ,6281438,505868,1,60
Astrup,NWZ,6169892,648224,1,60
Astrup Bæk,EJ,6242416,569337,1,420
Astrup Gårde,WJ,6207600,474912,1,30
Astrup Hede,WJ,6209625,475334,1,40
Astrup Mark,NWJ,6293061,462749,1,40
Astrup Nørskov,NEJ,6294897,559523,1,350
Astrup Skov,NWZ,6170847,648885,1,350
Astrup v. Aidt,EJ,6242288,547951,3,30
Astrup v. Arden,NEJ,6292225,559796,3,10
Astrup v. Bryndum,WJ,6156495,469000,3,40
Astrup v. Ebdrup,EJ,6246467,594138,3,30
Astrup v. Faster,WJ,6207000,475194,3,10
Astrup v. Hjørring,NEJ,6371420,565657,3,10
Astrup v. Levring,EJ,6237917,529757,3,40
Astrup v. Sønderup,NEJ,6298651,537793,3,30
Astrup v. Tim,WJ,6224727,459766,3,40
Astrup v. Velling,WJ,6212570,457286,3,30
Astrup v. Ødum,EJ,6242669,570578,3,40
Astrup Vig,NWJ,6280081,506527,1,670
Astrup-Ballen,EJ,6209948,571477,1,30
Aså,NEJ,6334840,585867,4,420
Asaa,NEJ,6334943,584933,1,10
Asaa Enge,NEJ,6333972,585130,1,40
Asaa Hede,NEJ,6335756,583765,1,40
Aså Rende,NEJ,6338667,589539,6,650
Attemose,NEZ,6198255,702962,1,390
Attenagre,WJ,6216747,465565,1,40
Atterbakke 103m,SZ,6123473,685735,5,540
Atterhøj 40m,NWJ,6320635,477352,5,300
Atterup Huse,NEZ,6159144,683361,1,30
Atterup Huse v. Dianalund,NWZ,6156999,658868,3,30
Atterup Huse v. Grevinge Skov,NWZ,6188595,663756,3,40
